"Table 4.6. Historical-Cost Depreciation of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 31, 2015"
"Line"," ","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","    Structures",1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.8,1.9,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.5,3.8,4.1,4.4,4.6,4.9,5.1,5.4,5.6,6.0,6.4,6.8,7.2,7.7,8.2,8.8,9.3,10.6,11.4,12.4,13.4,14.6,16.1,18.1,20.6,23.9,27.5,30.7,33.6,36.9,39.6,41.6,43.6,45.8,48.4,51.1,53.3,55.2,57.2,59.5,62.3,65.6,69.2,72.9,76.8,81.5,85.3,88.7,92.4,97.3,104.1,112.8,122.8,131.2,136.7,142.3,149.7,157.9,166.7
"20","    Intellectual property products",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.7,2.0,2.2,2.5,2.9,3.3,3.7,4.1,4.6,5.0,5.5,6.1,6.7,7.4,8.3,9.3,10.4,11.5,12.6,13.6,14.9,16.5,18.2,20.0,22.2,24.7,27.8,31.6,36.1,41.4,47.2,54.1,62.0,69.8,77.2,84.9,94.0,104.4,115.0,125.1,135.0,144.8,155.5,169.0,187.0,208.1,232.4,260.6,285.4,301.1,312.4,324.8,339.6,357.0,376.0,396.3,412.5,422.3,434.4,451.8,471.4,493.8
" ","    By corporate industry group:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","      Farms",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.3,1.4,1.5,1.8,2.1,2.4,2.8,3.1,3.4,3.8,4.3,4.9,5.5,6.1,6.7,7.2,7.7,8.3,8.8,9.5,10.5,11.9,13.0
"22","        Equipment",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.1,1.1,1.2,1.2,1.4,1.6,1.9,2.2,2.6,2.9,3.2,3.5,4.0,4.6,5.2,5.8,6.3,6.7,7.2,7.7,8.2,8.9,9.9,11.1,12.2
"23","        Structures",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8
"24","        Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"25","      Manufacturing",1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.7,1.7,1.8,1.9,2.2,2.6,3.1,3.4,3.6,3.9,4.4,4.9,5.4,5.9,6.5,7.2,8.0,8.5,8.9,9.5,10.2,10.9,11.7,12.8,14.2,15.8,17.3,19.0,20.6,22.2,23.8,25.9,28.5,31.4,34.5,38.2,42.5,47.3,53.1,60.0,67.0,72.4,78.6,86.8,94.1,100.6,106.6,113.2,121.0,128.6,135.9,142.9,150.3,160.5,173.9,188.8,203.7,216.4,227.9,238.2,242.9,242.9,243.5,247.6,255.9,267.9,282.4,291.0,294.1,301.2,311.8,324.7,340.5
"26","        Equipment",0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.9,0.9,1.0,1.0,1.1,1.2,1.2,1.3,1.5,1.8,2.1,2.4,2.6,2.8,3.0,3.3,3.5,3.8,4.1,4.5,4.9,5.0,5.1,5.3,5.5,5.8,6.2,6.8,7.6,8.4,9.2,10.0,10.7,11.4,12.2,13.2,14.6,16.1,17.9,20.0,22.5,25.3,28.4,32.1,35.8,38.0,40.3,43.9,46.9,49.6,52.0,54.8,58.2,61.5,64.7,67.8,71.3,76.0,81.5,86.8,92.0,96.3,99.5,101.8,102.5,102.3,102.0,102.5,104.4,107.8,111.9,113.3,112.7,113.9,116.7,120.7,126.1
"27","        Structures",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,1.0,1.1,1.1,1.3,1.4,1.5,1.6,1.8,1.9,2.1,2.2,2.4,2.6,2.8,3.0,3.2,3.5,3.9,4.3,4.7,5.0,5.3,5.6,5.9,6.2,6.4,6.8,7.1,7.5,7.8,8.1,8.4,8.8,9.3,9.9,10.4,10.8,11.3,11.7,12.1,12.2,12.3,12.4,12.6,12.9,13.4,13.8,14.0,14.2,14.6,15.1,15.8
