"Table 4.3. Historical-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 31, 2015"
"Line"," ","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","    Structures",45.2,47.7,50.2,52.5,55.2,57.2,57.7,57.3,56.7,56.2,55.9,55.9,56.6,56.7,56.9,57.4,58.3,58.6,58.4,58.8,59.9,63.0,66.6,71.3,75.6,80.2,86.5,93.2,100.5,107.5,115.0,125.0,135.2,143.5,151.6,160.5,169.0,177.7,186.2,196.3,209.1,224.0,239.0,255.4,273.9,293.5,313.7,336.5,363.5,396.2,428.6,462.3,500.6,551.7,616.8,693.8,786.4,880.6,955.9,1047.1,1149.1,1231.9,1309.4,1388.4,1474.5,1579.1,1664.1,1736.9,1811.3,1888.1,1984.3,2095.0,2217.3,2351.3,2485.1,2640.9,2797.5,2910.7,3018.1,3134.9,3281.0,3478.0,3725.4,4001.1,4179.9,4305.1,4446.8,4629.1,4820.6,5042.0
"20","    Intellectual property products",1.2,1.3,1.3,1.5,1.6,1.8,1.8,1.9,1.9,2.0,2.1,2.2,2.4,2.6,2.8,3.0,3.4,3.8,4.0,4.4,4.7,5.4,6.1,6.7,7.2,7.7,8.3,9.3,10.7,12.0,13.4,15.3,17.2,18.9,20.8,22.8,24.9,27.0,29.4,31.8,34.9,38.8,42.9,47.5,52.5,57.0,61.0,65.8,71.4,78.0,84.9,93.9,104.2,115.7,130.7,147.6,169.3,193.6,219.9,251.9,285.2,317.3,347.0,379.3,418.0,459.4,502.7,542.4,581.5,618.8,665.2,722.6,792.2,864.0,950.8,1047.9,1120.0,1166.5,1214.4,1267.5,1334.8,1411.8,1498.5,1586.3,1643.9,1704.0,1775.9,1855.0,1941.7,2040.3
" ","    By corporate industry group:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","      Farms",0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1.0,1.1,1.2,1.4,1.5,1.6,1.8,2.0,2.2,2.3,2.5,2.7,3.0,3.3,3.9,4.6,5.4,6.2,7.1,8.2,9.0,9.8,10.1,10.3,10.5,10.6,10.7,10.8,11.0,11.4,12.1,12.6,12.8,13.7,15.4,17.6,19.9,22.4,25.2,27.5,30.9,35.1,40.6,46.0,51.8,57.4,61.9,66.6,73.0,78.6,83.8,90.3,101.0,111.8,120.8
"22","        Equipment",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.0,1.1,1.2,1.4,1.5,1.6,1.7,1.9,2.2,2.5,3.0,3.5,4.0,4.6,5.3,5.8,6.3,6.4,6.5,6.5,6.6,6.6,6.7,6.8,7.1,7.7,8.1,8.2,8.9,10.2,11.8,13.6,15.8,18.2,19.9,22.2,25.2,29.2,33.1,37.6,41.6,44.6,47.7,51.9,55.6,59.2,64.4,73.2,81.5,88.0
"23","        Structures",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.0,1.1,1.2,1.3,1.6,1.9,2.2,2.5,2.9,3.3,3.6,3.7,3.9,4.0,4.1,4.1,4.2,4.2,4.3,4.4,4.5,4.6,4.8,5.2,5.7,6.3,6.5,6.9,7.6,8.6,9.9,11.4,12.8,14.2,15.8,17.3,18.9,21.1,23.0,24.5,25.9,27.9,30.2,32.8
"24","        Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"25","      Manufacturing",12.7,13.2,13.7,14.4,15.4,15.8,15.6,15.1,14.8,14.7,14.7,15.1,15.9,16.1,16.4,17.2,18.8,19.7,20.0,20.8,22.4,25.6,29.9,33.5,35.5,37.7,42.1,46.9,51.6,55.9,60.2,67.4,74.9,79.0,82.7,88.1,92.9,98.2,104.0,111.7,122.6,137.1,150.7,164.2,179.2,193.3,205.6,219.8,237.2,262.8,287.7,313.9,344.6,382.2,425.7,476.6,535.5,582.5,619.7,671.5,728.0,771.7,810.8,851.5,907.2,965.6,1020.6,1073.5,1119.8,1179.0,1261.2,1356.6,1450.1,1539.5,1615.5,1697.2,1763.6,1789.8,1806.7,1832.4,1882.3,1949.8,2054.4,2157.7,2196.9,2242.0,2314.9,2404.1,2513.6,2641.9
"26","        Equipment",6.5,6.5,6.6,6.8,7.1,7.2,7.0,6.7,6.4,6.4,6.5,6.9,7.4,7.6,7.9,8.5,9.3,9.8,10.2,11.1,12.3,14.0,16.7,19.1,20.4,21.7,24.2,26.7,29.0,31.1,33.1,36.5,40.3,41.8,43.2,45.4,47.2,49.6,52.1,56.2,62.1,69.8,76.6,83.3,90.4,96.9,102.4,109.5,118.0,131.7,145.4,160.4,179.0,200.9,225.6,253.6,286.4,308.1,322.8,347.2,373.7,392.6,409.1,426.3,453.7,483.3,510.9,536.7,560.7,592.9,635.2,679.8,719.7,761.5,791.9,821.5,839.3,846.5,848.8,852.3,866.5,888.1,924.4,960.2,958.5,961.9,985.9,1015.1,1055.7,1106.5
"27","        Structures",5.9,6.3,6.7,7.2,7.8,8.0,8.0,7.8,7.7,7.6,7.5,7.5,7.7,7.6,7.6,7.7,8.2,8.3,8.1,8.1,8.3,9.5,10.7,11.6,12.1,12.6,14.1,15.6,17.0,18.2,19.6,21.9,24.3,25.6,26.5,28.1,29.7,31.2,32.9,34.9,38.0,42.3,46.4,50.5,55.0,59.6,63.8,67.7,72.8,79.9,86.3,92.3,98.6,107.7,118.2,130.3,143.7,155.8,164.2,174.3,185.6,194.6,202.5,211.3,222.9,234.3,244.2,254.3,263.3,274.3,290.0,309.6,327.5,341.5,355.3,371.2,387.9,394.4,396.0,399.0,404.1,410.6,428.0,441.2,449.9,455.5,463.4,479.9,498.0,520.6
