"Table 4.1. Current-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 31, 2015"
"Line"," ","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","    Structures",73.6,75.4,76.6,78.5,77.6,74.0,66.2,62.6,63.2,63.8,63.6,70.5,72.2,71.0,71.0,75.1,83.7,89.2,89.1,90.1,96.9,117.5,139.9,147.9,149.6,165.9,179.3,189.9,196.1,201.0,220.7,241.9,256.3,259.3,267.6,269.8,276.3,282.9,289.2,303.2,321.6,343.4,367.9,402.4,441.8,486.6,541.0,588.3,669.7,820.1,889.9,972.7,1071.5,1212.7,1394.7,1588.0,1816.1,1930.3,1973.5,2091.0,2192.9,2266.1,2384.4,2540.5,2689.8,2833.8,2880.6,2983.7,3138.1,3306.9,3473.1,3639.7,3866.3,4083.7,4290.0,4580.9,4884.1,5127.4,5336.4,5932.8,6644.9,7258.6,7674.3,8230.0,7803.6,8019.6,8342.4,8601.0,8919.5,9188.2
"20","    Intellectual property products",1.2,1.3,1.4,1.5,1.6,1.7,1.6,1.6,1.6,1.8,1.9,2.2,2.4,2.5,2.7,3.0,3.7,4.4,5.0,5.5,5.9,6.7,7.8,8.4,8.6,9.5,10.1,11.0,12.4,13.7,15.3,17.5,19.5,21.2,23.3,25.2,27.3,29.2,31.7,34.3,37.8,42.0,47.3,53.1,60.1,66.3,70.9,76.7,85.7,98.0,106.7,117.1,129.0,144.4,165.3,189.2,216.9,243.4,270.8,302.2,333.2,363.2,399.6,435.6,477.3,521.8,565.4,604.9,642.6,688.5,740.1,793.6,864.5,938.2,1043.1,1148.8,1193.3,1227.4,1286.7,1341.7,1426.5,1510.8,1611.2,1691.8,1737.2,1805.0,1887.6,1967.6,2075.1,2163.9
" ","    By corporate industry group:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","      Farms",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2.0,2.2,2.4,2.7,3.0,3.3,3.6,4.0,4.6,5.8,6.9,7.9,9.2,10.7,12.9,14.8,16.5,17.3,17.4,17.4,17.4,17.6,17.9,18.2,18.8,19.6,20.1,20.3,21.4,23.3,25.6,27.9,30.4,33.6,36.2,39.9,44.5,50.3,56.5,65.1,73.3,80.1,86.1,94.3,96.9,101.5,109.2,120.4,133.1,143.7
"22","        Equipment",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1.0,1.1,1.2,1.4,1.5,1.7,1.9,2.0,2.2,2.5,3.4,4.1,4.7,5.4,6.2,7.5,8.5,9.6,10.0,9.8,9.5,9.3,9.3,9.2,9.4,9.7,10.3,10.7,10.8,11.5,12.6,14.3,15.8,17.8,20.2,21.8,24.0,27.0,31.0,35.3,40.8,45.3,49.1,53.0,58.9,62.4,66.0,72.0,80.6,88.9,94.9
"23","        Structures",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.0,1.2,1.3,1.4,1.6,1.8,2.0,2.5,2.8,3.2,3.8,4.5,5.4,6.2,6.9,7.3,7.6,7.9,8.1,8.3,8.6,8.9,9.1,9.3,9.3,9.5,9.9,10.6,11.3,12.0,12.5,13.3,14.3,15.8,17.5,19.2,21.1,24.3,27.9,30.9,33.1,35.3,34.4,35.5,37.1,39.8,44.2,48.8
"24","        Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"25","      Manufacturing",16.4,16.8,17.1,17.8,17.7,16.3,14.5,13.3,14.8,15.4,15.6,17.5,18.8,18.4,19.0,21.0,24.9,27.2,27.2,27.6,31.5,38.7,47.2,52.5,51.9,59.5,65.6,69.7,73.7,76.6,84.8,96.9,105.6,106.9,110.6,113.9,117.2,122.3,127.5,136.1,147.9,166.2,183.0,203.7,225.4,248.5,270.3,291.1,323.4,392.0,437.9,479.9,535.2,603.9,696.3,802.1,890.7,949.5,980.2,1029.4,1091.5,1149.0,1206.0,1264.0,1331.0,1406.1,1451.1,1502.8,1552.4,1634.2,1727.1,1818.4,1913.1,2014.2,2103.1,2195.5,2251.0,2271.4,2300.6,2395.7,2518.1,2633.8,2790.3,2963.0,2917.9,2963.8,3076.0,3157.7,3290.8,3411.6
"26","        Equipment",7.2,7.3,7.4,7.6,7.5,7.1,6.5,5.9,6.3,6.6,6.6,7.4,8.2,8.3,8.7,9.6,11.0,11.5,11.8,12.4,14.2,16.7,20.5,24.7,25.1,29.4,32.2,34.0,37.0,38.6,42.6,49.1,53.8,54.6,56.5,57.8,58.2,60.1,61.9,65.7,71.5,81.1,89.5,98.7,107.5,117.2,123.7,130.6,142.7,178.6,209.2,232.9,263.2,298.0,343.4,399.2,441.4,464.3,468.2,484.5,514.3,541.0,564.4,588.8,619.1,661.8,684.1,703.8,722.8,756.3,802.7,838.2,863.6,894.8,916.8,940.3,948.4,948.2,950.2,972.8,999.4,1034.8,1080.9,1135.9,1120.7,1128.0,1162.4,1187.1,1214.4,1258.2
"27","        Structures",8.8,9.1,9.3,9.8,9.7,8.7,7.5,6.9,7.9,8.2,8.3,9.3,9.8,9.2,9.4,10.3,12.4,13.7,13.3,13.0,15.1,19.4,23.5,24.3,23.2,26.0,28.8,30.5,30.6,31.0,34.2,38.1,40.8,39.9,40.2,40.9,42.6,44.3,46.2,49.5,53.5,59.7,65.3,73.3,81.9,91.3,103.3,113.3,126.4,150.3,159.8,171.8,189.9,214.7,248.7,283.0,312.1,333.6,346.3,364.2,380.5,398.2,413.8,430.4,450.2,465.9,470.2,484.0,502.9,529.1,550.0,576.8,608.2,641.1,668.7,698.7,730.8,746.5,748.4,799.8,853.0,895.0,940.6,1009.5,951.5,945.1,969.8,984.3,1024.3,1051.7
"28","        Intellectual property products",0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,1.1,1.5,2.0,2.2,2.2,2.2,2.6,3.1,3.5,3.6,4.1,4.6,5.2,6.2,7.0,8.1,9.7,11.1,12.4,13.8,15.2,16.5,17.9,19.4,21.0,22.8,25.3,28.1,31.8,36.0,40.0,43.2,47.2,54.3,63.1,68.8,75.1,82.0,91.2,104.2,119.9,137.2,151.6,165.7,180.8,196.7,209.8,227.8,244.8,261.8,278.4,296.8,314.9,326.7,348.8,374.4,403.3,441.3,478.4,517.6,556.5,571.8,576.6,602.0,623.0,665.7,704.0,768.8,817.6,845.7,890.7,943.7,986.3,1052.2,1101.7
"29","      Nonfarm nonmanufacturing",82.0,84.5,85.7,87.2,86.4,82.7,74.7,70.1,69.3,69.8,69.2,75.7,77.8,77.1,77.1,81.1,89.8,94.8,95.6,96.6,104.0,125.1,148.2,161.6,166.1,185.2,200.2,212.0,222.8,229.3,252.2,278.0,297.4,304.9,318.5,324.7,333.2,343.1,353.7,371.9,396.2,426.4,461.1,506.2,558.5,614.7,674.2,733.0,831.7,1020.3,1127.8,1240.6,1377.3,1567.5,1809.0,2077.5,2372.1,2531.3,2616.7,2794.9,2954.9,3093.7,3269.7,3506.7,3734.7,3958.5,4057.6,4207.0,4438.5,4697.8,4978.3,5238.0,5555.5,5870.0,6255.7,6747.7,7113.6,7389.6,7662.1,8374.1,9212.0,10025.4,10556.8,11199.9,10769.4,11061.8,11513.6,11909.8,12348.0,12780.0
"30","        Equipment",16.5,17.4,17.5,17.6,17.4,16.4,15.0,13.4,13.0,13.2,12.7,13.3,13.9,13.8,13.7,14.5,16.5,17.0,17.0,16.4,18.8,23.2,27.5,33.4,35.1,40.2,44.5,47.1,51.4,53.1,58.9,66.9,73.9,77.1,82.1,86.4,89.3,93.9,99.1,105.5,114.0,127.0,140.4,156.9,175.9,194.5,210.5,230.3,259.0,318.1,362.6,401.0,452.6,520.8,607.2,709.4,795.3,850.1,892.1,954.6,1014.1,1080.9,1135.9,1214.7,1288.8,1356.5,1387.9,1426.8,1497.3,1591.0,1700.9,1797.0,1886.9,1980.8,2123.3,2289.1,2356.4,2377.3,2410.5,2546.8,2687.4,2885.9,3013.8,3140.5,3060.2,3108.4,3234.4,3351.6,3474.1,3630.2
"31","        Structures",64.7,66.2,67.2,68.6,67.8,65.2,58.6,55.6,55.2,55.5,55.2,61.0,62.3,61.6,61.6,64.7,71.1,75.4,75.7,76.9,81.6,97.9,116.1,123.4,126.0,139.6,150.1,159.1,165.2,169.6,186.1,203.3,215.1,219.0,226.9,228.4,233.1,237.9,242.3,253.0,267.2,282.7,301.5,327.9,358.6,393.8,436.0,473.2,541.3,667.3,727.3,797.6,877.8,993.6,1140.6,1298.8,1497.1,1589.4,1619.6,1718.9,1804.3,1859.5,1962.0,2101.2,2230.4,2358.5,2401.1,2490.3,2625.3,2767.2,2911.8,3050.8,3245.5,3429.4,3607.0,3866.4,4135.8,4361.6,4567.0,5108.6,5763.9,6332.7,6700.7,7185.2,6817.7,7039.1,7335.4,7576.9,7851.0,8087.8
"32","        Intellectual property products",0.9,0.9,1.0,1.0,1.1,1.2,1.1,1.1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,1.9,2.2,2.4,2.8,3.3,3.6,4.1,4.6,4.9,5.0,5.4,5.6,5.8,6.3,6.7,7.2,7.8,8.4,8.8,9.5,10.0,10.8,11.3,12.3,13.4,14.9,16.7,19.1,21.4,24.1,26.4,27.7,29.5,31.4,34.9,37.9,42.0,47.0,53.1,61.1,69.3,79.7,91.8,105.0,121.4,136.5,153.3,171.8,190.8,215.5,243.5,268.6,290.0,315.9,339.6,365.6,390.2,423.1,459.7,525.4,592.2,621.5,650.7,684.6,718.6,760.7,806.8,842.4,874.2,891.5,914.3,943.8,981.3,1022.9,1062.1
